study_id,author_year,title,study_design,ending_year,world_region,world_subregion,country,city_state,focus,overall_cytology,pap_method,recruitment_setting,hpv_types_reported,hpv_test,num_older_wom,num_hpv_pos,num_hr_hpv_pos,hpv_type,num_type,type_prev,notes
41OHG,"Dufit et al., 2016","THE EPIDEMIOLOGY OF HUMAN PAPILLOMA VIRUS IN WOMEN AGED 20-65 YEARS LIVING IN REMOTE VILLAGES
IN FRENCH GUIANA: ADAPTING INTERVENTIONS TO THE TERRITORY",cross-sectional ,2014,Americas,South America,French Guiana,NA,Both ,Predominantly normal ,LBC,general population,"overall, HR-HPV+, 52, 15, 68, 31, 58, 18, 56, 51, 39, 45, 35, 33, 59",other PCR,91,40,30,52,6,0.065934066,Table 3 for age specific HPV Genotype specific data
41OHG,"Dufit et al., 2016","THE EPIDEMIOLOGY OF HUMAN PAPILLOMA VIRUS IN WOMEN AGED 20-65 YEARS LIVING IN REMOTE VILLAGES
IN FRENCH GUIANA: ADAPTING INTERVENTIONS TO THE TERRITORY",cross-sectional ,2014,Americas,South America,French Guiana,NA,Both ,Predominantly normal ,LBC,general population,"overall, HR-HPV+, 52, 15, 68, 31, 58, 18, 56, 51, 39, 45, 35, 33, 59",other PCR,91,40,30,16,2,0.021978022,Table 3 for age specific HPV Genotype specific data
41OHG,"Dufit et al., 2016","THE EPIDEMIOLOGY OF HUMAN PAPILLOMA VIRUS IN WOMEN AGED 20-65 YEARS LIVING IN REMOTE VILLAGES
IN FRENCH GUIANA: ADAPTING INTERVENTIONS TO THE TERRITORY",cross-sectional ,2014,Americas,South America,French Guiana,NA,Both ,Predominantly normal ,LBC,general population,"overall, HR-HPV+, 52, 15, 68, 31, 58, 18, 56, 51, 39, 45, 35, 33, 59",other PCR,91,40,30,68,6,0.065934066,Table 3 for age specific HPV Genotype specific data
41OHG,"Dufit et al., 2016","THE EPIDEMIOLOGY OF HUMAN PAPILLOMA VIRUS IN WOMEN AGED 20-65 YEARS LIVING IN REMOTE VILLAGES
IN FRENCH GUIANA: ADAPTING INTERVENTIONS TO THE TERRITORY",cross-sectional ,2014,Americas,South America,French Guiana,NA,Both ,Predominantly normal ,LBC,general population,"overall, HR-HPV+, 52, 15, 68, 31, 58, 18, 56, 51, 39, 45, 35, 33, 59",other PCR,91,40,30,31,4,0.043956044,Table 3 for age specific HPV Genotype specific data
41OHG,"Dufit et al., 2016","THE EPIDEMIOLOGY OF HUMAN PAPILLOMA VIRUS IN WOMEN AGED 20-65 YEARS LIVING IN REMOTE VILLAGES
IN FRENCH GUIANA: ADAPTING INTERVENTIONS TO THE TERRITORY",cross-sectional ,2014,Americas,South America,French Guiana,NA,Both ,Predominantly normal ,LBC,general population,"overall, HR-HPV+, 52, 15, 68, 31, 58, 18, 56, 51, 39, 45, 35, 33, 59",other PCR,91,40,30,58,3,0.032967033,Table 3 for age specific HPV Genotype specific data
41OHG,"Dufit et al., 2016","THE EPIDEMIOLOGY OF HUMAN PAPILLOMA VIRUS IN WOMEN AGED 20-65 YEARS LIVING IN REMOTE VILLAGES
IN FRENCH GUIANA: ADAPTING INTERVENTIONS TO THE TERRITORY",cross-sectional ,2014,Americas,South America,French Guiana,NA,Both ,Predominantly normal ,LBC,general population,"overall, HR-HPV+, 52, 15, 68, 31, 58, 18, 56, 51, 39, 45, 35, 33, 59",other PCR,91,40,30,18,3,0.032967033,Table 3 for age specific HPV Genotype specific data
41OHG,"Dufit et al., 2016","THE EPIDEMIOLOGY OF HUMAN PAPILLOMA VIRUS IN WOMEN AGED 20-65 YEARS LIVING IN REMOTE VILLAGES
IN FRENCH GUIANA: ADAPTING INTERVENTIONS TO THE TERRITORY",cross-sectional ,2014,Americas,South America,French Guiana,NA,Both ,Predominantly normal ,LBC,general population,"overall, HR-HPV+, 52, 15, 68, 31, 58, 18, 56, 51, 39, 45, 35, 33, 59",other PCR,91,40,30,56,3,0.032967033,Table 3 for age specific HPV Genotype specific data
41OHG,"Dufit et al., 2016","THE EPIDEMIOLOGY OF HUMAN PAPILLOMA VIRUS IN WOMEN AGED 20-65 YEARS LIVING IN REMOTE VILLAGES
IN FRENCH GUIANA: ADAPTING INTERVENTIONS TO THE TERRITORY",cross-sectional ,2014,Americas,South America,French Guiana,NA,Both ,Predominantly normal ,LBC,general population,"overall, HR-HPV+, 52, 15, 68, 31, 58, 18, 56, 51, 39, 45, 35, 33, 59",other PCR,91,40,30,51,1,0.010989011,Table 3 for age specific HPV Genotype specific data
41OHG,"Dufit et al., 2016","THE EPIDEMIOLOGY OF HUMAN PAPILLOMA VIRUS IN WOMEN AGED 20-65 YEARS LIVING IN REMOTE VILLAGES
IN FRENCH GUIANA: ADAPTING INTERVENTIONS TO THE TERRITORY",cross-sectional ,2014,Americas,South America,French Guiana,NA,Both ,Predominantly normal ,LBC,general population,"overall, HR-HPV+, 52, 15, 68, 31, 58, 18, 56, 51, 39, 45, 35, 33, 59",other PCR,91,40,30,39,3,0.032967033,Table 3 for age specific HPV Genotype specific data
41OHG,"Dufit et al., 2016","THE EPIDEMIOLOGY OF HUMAN PAPILLOMA VIRUS IN WOMEN AGED 20-65 YEARS LIVING IN REMOTE VILLAGES
IN FRENCH GUIANA: ADAPTING INTERVENTIONS TO THE TERRITORY",cross-sectional ,2014,Americas,South America,French Guiana,NA,Both ,Predominantly normal ,LBC,general population,"overall, HR-HPV+, 52, 15, 68, 31, 58, 18, 56, 51, 39, 45, 35, 33, 59",other PCR,91,40,30,45,1,0.010989011,Table 3 for age specific HPV Genotype specific data
41OHG,"Dufit et al., 2016","THE EPIDEMIOLOGY OF HUMAN PAPILLOMA VIRUS IN WOMEN AGED 20-65 YEARS LIVING IN REMOTE VILLAGES
IN FRENCH GUIANA: ADAPTING INTERVENTIONS TO THE TERRITORY",cross-sectional ,2014,Americas,South America,French Guiana,NA,Both ,Predominantly normal ,LBC,general population,"overall, HR-HPV+, 52, 15, 68, 31, 58, 18, 56, 51, 39, 45, 35, 33, 59",other PCR,91,40,30,35,1,0.010989011,Table 3 for age specific HPV Genotype specific data
41OHG,"Dufit et al., 2016","THE EPIDEMIOLOGY OF HUMAN PAPILLOMA VIRUS IN WOMEN AGED 20-65 YEARS LIVING IN REMOTE VILLAGES
IN FRENCH GUIANA: ADAPTING INTERVENTIONS TO THE TERRITORY",cross-sectional ,2014,Americas,South America,French Guiana,NA,Both ,Predominantly normal ,LBC,general population,"overall, HR-HPV+, 52, 15, 68, 31, 58, 18, 56, 51, 39, 45, 35, 33, 59",other PCR,91,40,30,33,1,0.010989011,Table 3 for age specific HPV Genotype specific data
41OHG,"Dufit et al., 2016","THE EPIDEMIOLOGY OF HUMAN PAPILLOMA VIRUS IN WOMEN AGED 20-65 YEARS LIVING IN REMOTE VILLAGES
IN FRENCH GUIANA: ADAPTING INTERVENTIONS TO THE TERRITORY",cross-sectional ,2014,Americas,South America,French Guiana,NA,Both ,Predominantly normal ,LBC,general population,"overall, HR-HPV+, 52, 15, 68, 31, 58, 18, 56, 51, 39, 45, 35, 33, 59",other PCR,91,40,30,59,1,0.010989011,Table 3 for age specific HPV Genotype specific data
45OHG,"Foliaki et al., 2014",Prevalence of HPV infection and other risk factors in a Fijian population,cross-sectional ,2010,Oceania,Melanesia,Fiji,Suva,Both,Predominantly normal ,NA,general population,"overall, HR-HPV, 16/18",GP5+/6+,70,13,4,"16,18",1.8756,0.026794286,Figure 1 using PlotDigitizer
47OHG,"Hamlin-Douglas et al., 2008","Prevalence and Age Distribution of Human
Papillomavirus Infection in a Population
of Inuit Women in Nunavik, Quebec",prospective,2007,Americas,North America,Canada,"Nunavik, Quebec",Both,Predominantly normal ,Conventional ,screening ,"overall, HR-HPV, 16/18",PGMY09/11,121,24,11,"16,18",2.95,0.024380165,"HPV types 16 or 18 were detected in 2.2% in ages 50-59 y, and
3.1% in ages 60-69 y"
43HG,"He et al., 2019","Distribution of high-risk HPV types among
women in Sichuan province, China: a crosssectional
study",cross-sectional ,2016,Asia ,Eastern Asia,China ,Sichuan,Both,Predominantly normal ,LBC,screening,HR-HPV; 16/18; 31/45/52/58; 26/35/39/51/53/56/59/66/68/82,GP5+/GP6+,4808,NA,562,"16,18",91.7,0.019072379,Figure 2 for N breakdown by age group; Figure 1 total HR-HPV prevalence; Figure for specific genotype prevalence
43HG,"He et al., 2019","Distribution of high-risk HPV types among
women in Sichuan province, China: a crosssectional
study",cross-sectional ,2016,Asia ,Eastern Asia,China ,Sichuan,Both,Predominantly normal ,LBC,screening,HR-HPV; 16/18; 31/45/52/58; 26/35/39/51/53/56/59/66/68/82,GP5+/GP6+,4808,NA,562,31/45/52/58,266.3,0.055386855,Figure 2 for N breakdown by age group; Figure 1 total HR-HPV prevalence; Figure for specific genotype prevalence
43HG,"He et al., 2019","Distribution of high-risk HPV types among
women in Sichuan province, China: a crosssectional
study",cross-sectional ,2016,Asia ,Eastern Asia,China ,Sichuan,Both,Predominantly normal ,LBC,screening,HR-HPV; 16/18; 31/45/52/58; 26/35/39/51/53/56/59/66/68/82,GP5+/GP6+,4808,NA,562,26/35/39/51/53/56/59/66/68/82,340.04,0.070723794,Figure 2 for N breakdown by age group; Figure 1 total HR-HPV prevalence; Figure for specific genotype prevalence
49OHG,"Herrero et al., 2005","Epidemiologic Profile of Type-Specific Human
Papillomavirus Infection and Cervical Neoplasia
in Guanacaste, Costa Rica",prospective ,1994,Americas,Central America,Costa Rica,Guancaste,Both,Predominantly normal ,Conventional ,general population,"overall, HR-HPV, 16, 18, 26,  31, 33, 35, 39,
45, 51, 52, 56, 58, 59, 66, 68, 73, 82",MY09/11,1603,456,195,16,43.229,0.026967561,Table 1
49OHG,"Herrero et al., 2005","Epidemiologic Profile of Type-Specific Human
Papillomavirus Infection and Cervical Neoplasia
in Guanacaste, Costa Rica",prospective ,1994,Americas,Central America,Costa Rica,Guancaste,Both,Predominantly normal ,Conventional ,general population,"overall, HR-HPV, 16, 18, 26,  31, 33, 35, 39,
45, 51, 52, 56, 58, 59, 66, 68, 73, 82",MY09/11,1603,456,195,18,23.237,0.014495945,Table 1
49OHG,"Herrero et al., 2005","Epidemiologic Profile of Type-Specific Human
Papillomavirus Infection and Cervical Neoplasia
in Guanacaste, Costa Rica",prospective ,1994,Americas,Central America,Costa Rica,Guancaste,Both,Predominantly normal ,Conventional ,general population,"overall, HR-HPV, 16, 18, 26,  31, 33, 35, 39,
45, 51, 52, 56, 58, 59, 66, 68, 73, 82",MY09/11,1603,456,195,26,4.001,0.002495945,Table 1
49OHG,"Herrero et al., 2005","Epidemiologic Profile of Type-Specific Human
Papillomavirus Infection and Cervical Neoplasia
in Guanacaste, Costa Rica",prospective ,1994,Americas,Central America,Costa Rica,Guancaste,Both,Predominantly normal ,Conventional ,general population,"overall, HR-HPV, 16, 18, 26,  31, 33, 35, 39,
45, 51, 52, 56, 58, 59, 66, 68, 73, 82",MY09/11,1603,456,195,31,18.415,0.011487835,Table 1
49OHG,"Herrero et al., 2005","Epidemiologic Profile of Type-Specific Human
Papillomavirus Infection and Cervical Neoplasia
in Guanacaste, Costa Rica",prospective ,1994,Americas,Central America,Costa Rica,Guancaste,Both,Predominantly normal ,Conventional ,general population,"overall, HR-HPV, 16, 18, 26,  31, 33, 35, 39,
45, 51, 52, 56, 58, 59, 66, 68, 73, 82",MY09/11,1603,456,195,33,13.606,0.008487835,Table 1
49OHG,"Herrero et al., 2005","Epidemiologic Profile of Type-Specific Human
Papillomavirus Infection and Cervical Neoplasia
in Guanacaste, Costa Rica",prospective ,1994,Americas,Central America,Costa Rica,Guancaste,Both,Predominantly normal ,Conventional ,general population,"overall, HR-HPV, 16, 18, 26,  31, 33, 35, 39,
45, 51, 52, 56, 58, 59, 66, 68, 73, 82",MY09/11,1603,456,195,35,8.784,0.005479726,Table 1
49OHG,"Herrero et al., 2005","Epidemiologic Profile of Type-Specific Human
Papillomavirus Infection and Cervical Neoplasia
in Guanacaste, Costa Rica",prospective ,1994,Americas,Central America,Costa Rica,Guancaste,Both,Predominantly normal ,Conventional ,general population,"overall, HR-HPV, 16, 18, 26,  31, 33, 35, 39,
45, 51, 52, 56, 58, 59, 66, 68, 73, 82",MY09/11,1603,456,195,39,6.399,0.00399189,Table 1
49OHG,"Herrero et al., 2005","Epidemiologic Profile of Type-Specific Human
Papillomavirus Infection and Cervical Neoplasia
in Guanacaste, Costa Rica",prospective ,1994,Americas,Central America,Costa Rica,Guancaste,Both,Predominantly normal ,Conventional ,general population,"overall, HR-HPV, 16, 18, 26,  31, 33, 35, 39,
45, 51, 52, 56, 58, 59, 66, 68, 73, 82",MY09/11,1603,456,195,45,9.618,0.006,Table 1
49OHG,"Herrero et al., 2005","Epidemiologic Profile of Type-Specific Human
Papillomavirus Infection and Cervical Neoplasia
in Guanacaste, Costa Rica",prospective ,1994,Americas,Central America,Costa Rica,Guancaste,Both,Predominantly normal ,Conventional ,general population,"overall, HR-HPV, 16, 18, 26,  31, 33, 35, 39,
45, 51, 52, 56, 58, 59, 66, 68, 73, 82",MY09/11,1603,456,195,51,29.662,0.018504055,Table 1
49OHG,"Herrero et al., 2005","Epidemiologic Profile of Type-Specific Human
Papillomavirus Infection and Cervical Neoplasia
in Guanacaste, Costa Rica",prospective ,1994,Americas,Central America,Costa Rica,Guancaste,Both,Predominantly normal ,Conventional ,general population,"overall, HR-HPV, 16, 18, 26,  31, 33, 35, 39,
45, 51, 52, 56, 58, 59, 66, 68, 73, 82",MY09/11,1603,456,195,52,22.416,0.01398378,Table 1
49OHG,"Herrero et al., 2005","Epidemiologic Profile of Type-Specific Human
Papillomavirus Infection and Cervical Neoplasia
in Guanacaste, Costa Rica",prospective ,1994,Americas,Central America,Costa Rica,Guancaste,Both,Predominantly normal ,Conventional ,general population,"overall, HR-HPV, 16, 18, 26,  31, 33, 35, 39,
45, 51, 52, 56, 58, 59, 66, 68, 73, 82",MY09/11,1603,456,195,56,16.825,0.010495945,Table 1
49OHG,"Herrero et al., 2005","Epidemiologic Profile of Type-Specific Human
Papillomavirus Infection and Cervical Neoplasia
in Guanacaste, Costa Rica",prospective ,1994,Americas,Central America,Costa Rica,Guancaste,Both,Predominantly normal ,Conventional ,general population,"overall, HR-HPV, 16, 18, 26,  31, 33, 35, 39,
45, 51, 52, 56, 58, 59, 66, 68, 73, 82",MY09/11,1603,456,195,58,24.032,0.01499189,Table 1
49OHG,"Herrero et al., 2005","Epidemiologic Profile of Type-Specific Human
Papillomavirus Infection and Cervical Neoplasia
in Guanacaste, Costa Rica",prospective ,1994,Americas,Central America,Costa Rica,Guancaste,Both,Predominantly normal ,Conventional ,general population,"overall, HR-HPV, 16, 18, 26,  31, 33, 35, 39,
45, 51, 52, 56, 58, 59, 66, 68, 73, 82",MY09/11,1603,456,195,59,4.027,0.002512165,Table 1
49OHG,"Herrero et al., 2005","Epidemiologic Profile of Type-Specific Human
Papillomavirus Infection and Cervical Neoplasia
in Guanacaste, Costa Rica",prospective ,1994,Americas,Central America,Costa Rica,Guancaste,Both,Predominantly normal ,Conventional ,general population,"overall, HR-HPV, 16, 18, 26,  31, 33, 35, 39,
45, 51, 52, 56, 58, 59, 66, 68, 73, 82",MY09/11,1603,456,195,66,6.386,0.00398378,Table 1
49OHG,"Herrero et al., 2005","Epidemiologic Profile of Type-Specific Human
Papillomavirus Infection and Cervical Neoplasia
in Guanacaste, Costa Rica",prospective ,1994,Americas,Central America,Costa Rica,Guancaste,Both,Predominantly normal ,Conventional ,general population,"overall, HR-HPV, 16, 18, 26,  31, 33, 35, 39,
45, 51, 52, 56, 58, 59, 66, 68, 73, 82",MY09/11,1603,456,195,68,4.027,0.002512165,Table 1
49OHG,"Herrero et al., 2005","Epidemiologic Profile of Type-Specific Human
Papillomavirus Infection and Cervical Neoplasia
in Guanacaste, Costa Rica",prospective ,1994,Americas,Central America,Costa Rica,Guancaste,Both,Predominantly normal ,Conventional ,general population,"overall, HR-HPV, 16, 18, 26,  31, 33, 35, 39,
45, 51, 52, 56, 58, 59, 66, 68, 73, 82",MY09/11,1603,456,195,73,10.4,0.006487835,Table 1
49OHG,"Herrero et al., 2005","Epidemiologic Profile of Type-Specific Human
Papillomavirus Infection and Cervical Neoplasia
in Guanacaste, Costa Rica",prospective ,1994,Americas,Central America,Costa Rica,Guancaste,Both,Predominantly normal ,Conventional ,general population,"overall, HR-HPV, 16, 18, 26,  31, 33, 35, 39,
45, 51, 52, 56, 58, 59, 66, 68, 73, 82",MY09/11,1603,456,195,82,8.015,0.005,Table 1
51OHG,"Hooi et al., 2018","Human papillomavirus (HPV) prevalence and
associated risk factors in women from
CuracËao",cross-sectional ,NA,Americas,Caribbean,Curaçao,NA,Both,Predominantly normal ,Conventional ,general population,"overall, HR-HPV, 16/18",GP5+/GP6+,305,52,27,16/18,5.978,0.0196,"Table 2 for prevalence by age group, overall, and all subtypes; Figure 1 for HRHPV and HPV 16/18 (with Plot digitizer)"
48HG,"Choi et al., 2015","The Clinical Performance of Primary HPV Screening,
Primary HPV Screening Plus Cytology Cotesting, and
Cytology Alone at a Tertiary Care Hospital",cross-sectional ,2012,Asia,Eastern Asia,South Korea,Ansan,Both,Predominantly normal ,LBC,screening,"HR-HPV, 16/18",multiple,289,NA,66,16/18,16,0.055363322,Table 4 for prevalence by age group and HR-HPV and HPV16/18
52OHG,"Jiang et al., 2011","Type-specific prevalence of Human Papillomavirus infection among women in the Northwest Territories, Canada",cross-sectional ,2009,Americas,North America,Canada,Northwest Territories,Both ,Predominantly normal ,LBC,screening ,"overall, HR-HPV, 16/18",PGMY09/11 and GP5+/GP6+,913,135,94,16/18,13.81,0.015125958,table 2
56OHGP,"Kjaer et al., 2008","Population-based prevalence, type- and age-specific distribution of HPV in
women before introduction of an HPV-vaccination program in Denmark",cross-sectional ,2005,Europe,Northern Europe,Denmark,Copenhagen,Both,Predominantly normal ,LBC,screening,"overall, HR-HPV, 16/18",HC2,NA,NA,NA,16/18,NA,0.01355,"N is not provided for the age groups but overall prevalence is provided  by age group (50-54, 55-59, 60-64, 65+) from which a crude overall prevalence is calculated by added up all the prevalence rates, divide the sum by the total number of groups (N) to calculate the crude overall prevalence."
57OHG,"Klug et al., 2007",Prevalence of Human Papillomavirus Types in Women Screened by Cytology in Germany,cross-sectional ,2000,Europe,Western Europe,Germany,Southern and Northern Germany,Both,Predominantly normal ,LBC,screening,"overall, HR-HPV, 16, 18, 31, 33, 35, 39, 45, 51, 52, 56, 58, 59, 66",PGMY09/11 ,1735,44,33,16,10,0.005763689,"Results from Table 1  by age group *55-64, 65+) and genotype"
57OHG,"Klug et al., 2007",Prevalence of Human Papillomavirus Types in Women Screened by Cytology in Germany,cross-sectional ,2000,Europe,Western Europe,Germany,Southern and Northern Germany,Both,Predominantly normal ,LBC,screening,"overall, HR-HPV, 16, 18, 31, 33, 35, 39, 45, 51, 52, 56, 58, 59, 66",PGMY09/11 ,1735,44,33,18,1,0.000576369,"Results from Table 1  by age group *55-64, 65+) and genotype"
57OHG,"Klug et al., 2007",Prevalence of Human Papillomavirus Types in Women Screened by Cytology in Germany,cross-sectional ,2000,Europe,Western Europe,Germany,Southern and Northern Germany,Both,Predominantly normal ,LBC,screening,"overall, HR-HPV, 16, 18, 31, 33, 35, 39, 45, 51, 52, 56, 58, 59, 66",PGMY09/11 ,1735,44,33,31,4,0.002305476,"Results from Table 1  by age group *55-64, 65+) and genotype"
57OHG,"Klug et al., 2007",Prevalence of Human Papillomavirus Types in Women Screened by Cytology in Germany,cross-sectional ,2000,Europe,Western Europe,Germany,Southern and Northern Germany,Both,Predominantly normal ,LBC,screening,"overall, HR-HPV, 16, 18, 31, 33, 35, 39, 45, 51, 52, 56, 58, 59, 66",PGMY09/11 ,1735,44,33,33,2,0.001152738,"Results from Table 1  by age group *55-64, 65+) and genotype"
57OHG,"Klug et al., 2007",Prevalence of Human Papillomavirus Types in Women Screened by Cytology in Germany,cross-sectional ,2000,Europe,Western Europe,Germany,Southern and Northern Germany,Both,Predominantly normal ,LBC,screening,"overall, HR-HPV, 16, 18, 31, 33, 35, 39, 45, 51, 52, 56, 58, 59, 66",PGMY09/11 ,1735,44,33,35,0,0,"Results from Table 1  by age group *55-64, 65+) and genotype"
57OHG,"Klug et al., 2007",Prevalence of Human Papillomavirus Types in Women Screened by Cytology in Germany,cross-sectional ,2000,Europe,Western Europe,Germany,Southern and Northern Germany,Both,Predominantly normal ,LBC,screening,"overall, HR-HPV, 16, 18, 31, 33, 35, 39, 45, 51, 52, 56, 58, 59, 66",PGMY09/11 ,1735,44,33,39,4,0.002305476,"Results from Table 1  by age group *55-64, 65+) and genotype"
57OHG,"Klug et al., 2007",Prevalence of Human Papillomavirus Types in Women Screened by Cytology in Germany,cross-sectional ,2000,Europe,Western Europe,Germany,Southern and Northern Germany,Both,Predominantly normal ,LBC,screening,"overall, HR-HPV, 16, 18, 31, 33, 35, 39, 45, 51, 52, 56, 58, 59, 66",PGMY09/11 ,1735,44,33,45,4,0.002305476,"Results from Table 1  by age group *55-64, 65+) and genotype"
57OHG,"Klug et al., 2007",Prevalence of Human Papillomavirus Types in Women Screened by Cytology in Germany,cross-sectional ,2000,Europe,Western Europe,Germany,Southern and Northern Germany,Both,Predominantly normal ,LBC,screening,"overall, HR-HPV, 16, 18, 31, 33, 35, 39, 45, 51, 52, 56, 58, 59, 66",PGMY09/11 ,1735,44,33,51,4,0.002305476,"Results from Table 1  by age group *55-64, 65+) and genotype"
57OHG,"Klug et al., 2007",Prevalence of Human Papillomavirus Types in Women Screened by Cytology in Germany,cross-sectional ,2000,Europe,Western Europe,Germany,Southern and Northern Germany,Both,Predominantly normal ,LBC,screening,"overall, HR-HPV, 16, 18, 31, 33, 35, 39, 45, 51, 52, 56, 58, 59, 66",PGMY09/11 ,1735,44,33,52,3,0.001729107,"Results from Table 1  by age group *55-64, 65+) and genotype"
57OHG,"Klug et al., 2007",Prevalence of Human Papillomavirus Types in Women Screened by Cytology in Germany,cross-sectional ,2000,Europe,Western Europe,Germany,Southern and Northern Germany,Both,Predominantly normal ,LBC,screening,"overall, HR-HPV, 16, 18, 31, 33, 35, 39, 45, 51, 52, 56, 58, 59, 66",PGMY09/11 ,1735,44,33,56,1,0.000576369,"Results from Table 1  by age group *55-64, 65+) and genotype"
57OHG,"Klug et al., 2007",Prevalence of Human Papillomavirus Types in Women Screened by Cytology in Germany,cross-sectional ,2000,Europe,Western Europe,Germany,Southern and Northern Germany,Both,Predominantly normal ,LBC,screening,"overall, HR-HPV, 16, 18, 31, 33, 35, 39, 45, 51, 52, 56, 58, 59, 66",PGMY09/11 ,1735,44,33,58,2,0.001152738,"Results from Table 1  by age group *55-64, 65+) and genotype"
57OHG,"Klug et al., 2007",Prevalence of Human Papillomavirus Types in Women Screened by Cytology in Germany,cross-sectional ,2000,Europe,Western Europe,Germany,Southern and Northern Germany,Both,Predominantly normal ,LBC,screening,"overall, HR-HPV, 16, 18, 31, 33, 35, 39, 45, 51, 52, 56, 58, 59, 66",PGMY09/11 ,1735,44,33,59,2,0.001152738,"Results from Table 1  by age group *55-64, 65+) and genotype"
57OHG,"Klug et al., 2007",Prevalence of Human Papillomavirus Types in Women Screened by Cytology in Germany,cross-sectional ,2000,Europe,Western Europe,Germany,Southern and Northern Germany,Both,Predominantly normal ,LBC,screening,"overall, HR-HPV, 16, 18, 31, 33, 35, 39, 45, 51, 52, 56, 58, 59, 66",PGMY09/11 ,1735,44,33,66,2,0.001152738,"Results from Table 1  by age group *55-64, 65+) and genotype"
50HG,"Kjaer et al., 2013","Carcinogenic HPV prevalence and age-specific type distribution
in 40,382 women with normal cervical cytology, ASCUS/LSIL,
HSIL, or cervical cancer: what is the potential for prevention?",cross-sectional ,2005,Europe,Northern Europe,Denmark,Copenhagen,Both,Predominantly normal ,LBC,screening,"HR-HPV, 16, 18, 31, 33, 35, 39, 45, 51, 52, 53, 56, 58, 59, 66, 68",HC2,5718,NA,405,16,69.68,0.012186079,"Results from table 1 by % prevalence for genotype  x N of age group (55-64, 65 +), and then summed"
50HG,"Kjaer et al., 2013","Carcinogenic HPV prevalence and age-specific type distribution
in 40,382 women with normal cervical cytology, ASCUS/LSIL,
HSIL, or cervical cancer: what is the potential for prevention?",cross-sectional ,2005,Europe,Northern Europe,Denmark,Copenhagen,Both,Predominantly normal ,LBC,screening,"HR-HPV, 16, 18, 31, 33, 35, 39, 45, 51, 52, 53, 56, 58, 59, 66, 68",HC2,5718,NA,405,18,27.52,0.004812872,"Results from table 1 by % prevalence for genotype  x N of age group (55-64, 65 +), and then summed"
50HG,"Kjaer et al., 2013","Carcinogenic HPV prevalence and age-specific type distribution
in 40,382 women with normal cervical cytology, ASCUS/LSIL,
HSIL, or cervical cancer: what is the potential for prevention?",cross-sectional ,2005,Europe,Northern Europe,Denmark,Copenhagen,Both,Predominantly normal ,LBC,screening,"HR-HPV, 16, 18, 31, 33, 35, 39, 45, 51, 52, 53, 56, 58, 59, 66, 68",HC2,5718,NA,405,31,50.77,0.008878979,"Results from table 1 by % prevalence for genotype  x N of age group (55-64, 65 +), and then summed"
50HG,"Kjaer et al., 2013","Carcinogenic HPV prevalence and age-specific type distribution
in 40,382 women with normal cervical cytology, ASCUS/LSIL,
HSIL, or cervical cancer: what is the potential for prevention?",cross-sectional ,2005,Europe,Northern Europe,Denmark,Copenhagen,Both,Predominantly normal ,LBC,screening,"HR-HPV, 16, 18, 31, 33, 35, 39, 45, 51, 52, 53, 56, 58, 59, 66, 68",HC2,5718,NA,405,33,23.25,0.004066107,"Results from table 1 by % prevalence for genotype  x N of age group (55-64, 65 +), and then summed"
50HG,"Kjaer et al., 2013","Carcinogenic HPV prevalence and age-specific type distribution
in 40,382 women with normal cervical cytology, ASCUS/LSIL,
HSIL, or cervical cancer: what is the potential for prevention?",cross-sectional ,2005,Europe,Northern Europe,Denmark,Copenhagen,Both,Predominantly normal ,LBC,screening,"HR-HPV, 16, 18, 31, 33, 35, 39, 45, 51, 52, 53, 56, 58, 59, 66, 68",HC2,5718,NA,405,35,12.5,0.002186079,"Results from table 1 by % prevalence for genotype  x N of age group (55-64, 65 +), and then summed"
50HG,"Kjaer et al., 2013","Carcinogenic HPV prevalence and age-specific type distribution
in 40,382 women with normal cervical cytology, ASCUS/LSIL,
HSIL, or cervical cancer: what is the potential for prevention?",cross-sectional ,2005,Europe,Northern Europe,Denmark,Copenhagen,Both,Predominantly normal ,LBC,screening,"HR-HPV, 16, 18, 31, 33, 35, 39, 45, 51, 52, 53, 56, 58, 59, 66, 68",HC2,5718,NA,405,39,30.03,0.005251836,"Results from table 1 by % prevalence for genotype  x N of age group (55-64, 65 +), and then summed"
50HG,"Kjaer et al., 2013","Carcinogenic HPV prevalence and age-specific type distribution
in 40,382 women with normal cervical cytology, ASCUS/LSIL,
HSIL, or cervical cancer: what is the potential for prevention?",cross-sectional ,2005,Europe,Northern Europe,Denmark,Copenhagen,Both,Predominantly normal ,LBC,screening,"HR-HPV, 16, 18, 31, 33, 35, 39, 45, 51, 52, 53, 56, 58, 59, 66, 68",HC2,5718,NA,405,45,34.68,0.006065058,"Results from table 1 by % prevalence for genotype  x N of age group (55-64, 65 +), and then summed"
50HG,"Kjaer et al., 2013","Carcinogenic HPV prevalence and age-specific type distribution
in 40,382 women with normal cervical cytology, ASCUS/LSIL,
HSIL, or cervical cancer: what is the potential for prevention?",cross-sectional ,2005,Europe,Northern Europe,Denmark,Copenhagen,Both,Predominantly normal ,LBC,screening,"HR-HPV, 16, 18, 31, 33, 35, 39, 45, 51, 52, 53, 56, 58, 59, 66, 68",HC2,5718,NA,405,51,50.394,0.008813221,"Results from table 1 by % prevalence for genotype  x N of age group (55-64, 65 +), and then summed"
