study_id,author_year,title,study_design,ending_year,world_region,world_subregion,country,city_state,focus,overall_cytology,pap_method,recruitment_setting,hpv_types_reported,hpv_types_tested,hr_hpv_nr,hr_hpv_cat,hpv_test,test_details,num_older_wom,num_hr_hpv_pos,hr_prev,risk_of_bias,Comments
38HP,"Dartell et al., 2012","Human Papillomavirus Prevalence and Type
Distribution in 3603 HIV-Positive and HIV-Negative Women in the General Population of Tanzania: The PROTECT Study",cross-sectional ,2009,Africa,Eastern Africa,Tanzania,NA,Both,Predominantly normal ,conventional ,general population,HR-HPV,"16, 18, 31, 33, 35, 39, 45, 51, 52, 56, 58, 59 68, 73",14,III,HC2,"hybrid capture 2 test with the HR probe cocktail. INNO-LiPA HPV
Genotyping Extra test (Innogenetics) is a line blot assay based
on the principle of reverse hybridization",NA,NA,0.197,low,"Table 1 for overall HR-HPV+ by age group, however this includes those who are HIV+ as well. If we use the Table data then we also have a breakdown of specific genotype by age to be done. However  figure 1 provides HRHPV prevalence in HIV- women by age group, however no N by age group so just % prevalence"
38OH,"DeVuyst et al., 2003","Distribution of Human Papillomavirus in a Family Planning Population in Nairobi, Kenya",cross-sectional ,2000,Africa,Eastern Africa,Kenya,Nairobi,Both,Predominantly normal ,conventional,clinical setting,"overall, HR-HPV","6, 11, 16, 18, 31, 33, 34, 35, 39, 40,
42, 43, 44, 45, 51, 52, 53, 54, 56, 58, 59, 66, 68, 70, 74",13,III,Other PCR,"Broad-spectrum HPV DNA amplification was performed
with the short PCR fragment (SPF10) primer set; genotyped with the
INNO-LiPA HPV prototype research assay",12,1,0.08,high,Figure 1 for overall and HR-HPV+ by age group extracted with plotdigitizer
40OHG,"Demers et al., 2012","Distribution of human papillomavirus types, cervical cancer screening history, and risk factors for infection in Manitoba",cross-sectional ,2008,Americas,North America,Canada,Manitoba,Both,Predominantly normal ,LBC,Screening,"overall, HR-HPV, 16/18","16, 18, 26, 30, 31, 33, 35,
39, 45, 51, 52, 53, 56, 58, 59, 66, 67, 68,
69, 70, 73, 82 and 85, 6, 11, 13, 32,
40, 42, 43, 44, 54, 61, 62, 71, 72, 74, 81,
83, 84, 86, 87, 89, 90, 91",12,II,PGMY09/11 and GP5+/GP6+,"The DNA was
amplified with a nested polymerase chain
reaction (PCR) method using the general
PGMY primer set for the first round and the GP5+/GP6+ primer set for the second; 45 types of HPV was measured using cloned HPV DNAs.
Comparison against the LinearArray
(Roche)",213,8,0.038,low,"
TABLE 2
Age distribution of women by infection status and HPV type. Data is also presented by standard age groups 50-54, 55-59, 60-64, 65+"
41OHG,"Dufit et al., 2016","THE EPIDEMIOLOGY OF HUMAN PAPILLOMA VIRUS IN WOMEN AGED 20-65 YEARS LIVING IN REMOTE VILLAGES
IN FRENCH GUIANA: ADAPTING INTERVENTIONS TO THE TERRITORY",cross-sectional ,2014,Americas,South America,French Guiana,NA,Both ,Predominantly normal ,LBC,general population,"overall, HR-HPV, 52, 15, 68, 31, 58, 18, 56, 51, 39, 45, 35, 33, 59","16, 18, 31, 33, 35, 39, 45, 51,
52, 56, 58, 59, 68 53, 66, 70, 73, 82, 44/55, 42, 6, 40, 43, 11",13,III,other PCR,detection of viral DNA using the Greiner Bio One® kit,91,30,0.33,high,"Table 2, proportion of women 20-65 with HPV+ (overall and HR). Specific HR Genotypes by age group table 3"
39H,"Ferreccio et al., 2011","High-risk HPV infection after five years in a
population-based cohort of Chilean women",prospective,2006,Americas,South America,Chile,Santiago,Both,Predominantly normal ,LBC,general population,HR-HPV,"16, 18,
31, 33, 35, 39, 45, 51, 52, 56, 58, 59, 66, 68",14,III,GP5+/GP6+,GP5+/6+ primer-mediated PCR and Reverse line blot genotyping,187,20,0.107,low,"Cohort with prevalence rate at two points in time as reported in Table 3, took the prevalence at the point in 2001"
40H,"Fokom Domgue et al., 2019","Feasibility of a community-based cervical cancer screening with
“test and treat” strategy using self-sample for an HPV test:
Experience from rural Cameroon, Africa",cross-sectional ,2016,Africa,Middle Adrica,Cameroon,North-west,Both,Predominantly normal ,LBC,screening,HR-HPV,"16, 18, 31, 33, 35, 39, 45, 51,
52, 56, 58, 59, 66, 68",14,III,other PCR,careHPV test,416,70,0.168,low,"Table 1 for population breakdown by age group, figure 4 for %HPV prevalence by age group; 50-59, 60-65"
45OHG,"Foliaki et al., 2014",Prevalence of HPV infection and other risk factors in a Fijian population,cross-sectional ,2010,Oceania,Melanesia,Fiji,Suva,Both,Predominantly normal ,NA,general population,"overall, HR-HPV, 16/18","16, 18, 31, 33, 34, 35, 39, 45, 51, 52, 56, 58, 59, 68, 6, 11, 26, 30, 32, 40, 42, 43, 44, 53, 54, 55, 61, 64, 66, 67, 69, 70, 72, 73, 81, 82, 83, 84, 85, 86, 97",14,III,GP5+/GP6+,GP5+/6+mediatedpolymerase chain reaction (PCR) assay,70,4,0.055,low,"Figure 1 for overall and HR-HPV+, 16/18 type by age group extracted with plotdigitizer"
46OH,"Gravitt et al., 2013","A Cohort Effect of the Sexual Revolution
May Be Masking an Increase in Human
Papillomavirus Detection at Menopause in the
United States",prospective,2011,Americas ,North America,USA,"Baltimore, Maryland",Both,Predominantly normal ,NA,screening,"Overall, HR-HPV","6, 11, 16 18, 26, 31, 33, 35, 39, 40, 42, 45, 51, 52, 53, 54, 55, 56, 58, 59, 61, 62, 64, 66, 67, 68, 69, 70, 71, 72, 73, 81, 82, 83, 84",14,III,LA,"DNA was extracted using the QIAamp DNA Blood Kit
(Qiagen, France) and tested for the presence of genotypespecific
HPV, using the Roche HPV Linear Array polymerase
chain reaction–based assay",300,16,0.053,low,"Table 1 for N of age groups, Table 2 for overall and HRHPV prevalence by age group"
41HGP,"Gultekin et al., 2018","Initial results of population based cervical cancer screening
program using HPV testing in one million Turkish women",cross-sectional ,2016,Asia,Western Asia,Turkiye,NA,Both,Predominantly normal ,conventional,screening,"HR-HPV, 16/18","16, 18, 31, 33, 35, 39, 45, 51, 52, 56, 58, 59 68, 73",14,III,HC2,"Hybrid Capture2 (Qiagen),
genotyping is performed with the CLART kit (Genomica).",NA,NA,0.03,low,% prevalence of overall HPV by age group reported in Figure 3 however the N for each age group was not provided
47OHG,"Hamlin-Douglas et al., 2008","Prevalence and Age Distribution of Human
Papillomavirus Infection in a Population
of Inuit Women in Nunavik, Quebec",prospective,2007,Americas,North America,Canada,"Nunavik, Quebec",Both,Predominantly normal ,conventional ,screening ,"overall, HR-HPV, 16/18","6, 11, 16, 18, 26, 31, 33, 35, 39, 40, 42, 45, 51, 52, 53, 54, 55, 56, 58, 59, 66, 68, 73, 82, 83, 84, 61, 62, 64, 67, 69, 70, 71, 72, 81, 89
",18,III,PGMY09/11,"HPV-DNA was detected on h-globin by PCR amplification
using PGMY09-PGMY11 primers and qualitycontrolled
Line blot assay (Roche Diagnostics),",121,11,0.091,low,"High-risk types were detected in 7.9% in ages
50-59 y, and 12.5% in ages 60-69 y"
42HGP,"Hatzipanagiotou et al., 2018","Human papillomaviruses in Western Africa: prevalences and risk
factors in Burkina Faso",cross-sectional ,2014,Africa,Western Africa,Burkina Faso,Ouagadougou,Both,Predominantly normal ,VIA,screening,"HR-HPV, 16/18","16, 18, 31, 33, 35, 39, 45, 51,
52, 56, 58, 59, 66, 68,
26, 53, 67, 70, 73, 82, 6, 7, 11, 13, 30, 32, 34, 40, 42, 43, 44, 54, 55, 57, 61, 62, 64, 69, 71, 72, 74, 81, 83, 84, 85,
86, 87, 89, 90, 91, 97, 102, 106, 114",15,III,GP5+/GP6+,"BSGP5 +/6 + -PCR/MPG assayLuminex bead-based Multiplex HPV Genotyping (MPG)
assay",NA,NA,0.235,low,"% prevalence of overall HPV by age group reported in Figure 1 however the N for each age group was not provided, plot digitizer used "
43HG,"He et al., 2019","Distribution of high-risk HPV types among
women in Sichuan province, China: a crosssectional
study",cross-sectional ,2016,Asia ,Eastern Asia,China ,Sichuan,Both,Predominantly normal ,LBC,screening,"HR-HPV, 16/18, 31/45/52/58, 26/35/39/51/53/56/59/66/68/82","16, 18, 26, 31, 33, 35, 39, 45, 51, 52, 53, 56,
58, 59, 66, 68, 82",17,III,GP5+/GP6+,"HPV-DNA was detected using a flow cytometry-fluorescence
hybridization technology that has been approved
by the Chinese Food and Drug Administration.This assay uses nine sense primers (BSGP5+,
200 nM) and three antisense primers (5′-biotinylated-
BSGP6+, 400 nM) to amplify a ~ 150-bp fragment of
the viral L1 open reading frame.",4808,562,0.117,low,Figure 2 for N breakdown by age group; Figure 1 total HR-HPV prevalence; Figure for specific genotype prevalence
48OH,"Hernandez-Rosas et al., 2021","Prevalence and correlation of human papillomavirus genotypes
with clinical factors in cervical samples from Mexican women",cross-sectional ,2017,Americas,Central America,Mexico,Sonora,Both,Predominantly normal ,conventional ,screening ,"overall, HR-HPV","16, 18, 31,
33, 35, 39, 45, 51, 52, 53, 56, 58, 59, 66, 67, 68, 73, 82, 6, 11, 34, 42, 70, 81",16,III,other PCR,"DNA HPV detection was performed using MALDITOF
mass spectrometry (Agena, bioscience, San Diego,
CA).",313,15,0.047,low," table 2 for age distribution N,  but figure 3 has overall and HR- HPV  % prevalence (used plot digitizer )"
49OHG,"Herrero et al., 2005","Epidemiologic Profile of Type-Specific Human
Papillomavirus Infection and Cervical Neoplasia
in Guanacaste, Costa Rica",prospective ,1994,Americas,Central America,Costa Rica,Guancaste,Both,Predominantly normal ,conventional ,general population,"overall, HR-HPV, 16, 18, 26,  31, 33, 35, 39,
45, 51, 52, 56, 58, 59, 66, 68, 73, 82","2, 6, 11, 13, 16, 18, 26, 31, 32, 33, 34, 35, 39, 40, 42, 43, 44, 
45, 51, 52, 53, 54, 55, 56, 57, 58, 59, 61, 62, 64, 66, 67, 68, 69, 70, 71, 72, 73, 74, 81, 82, 83, 84, 85, 89",17,III,MY09/11,"MY09/M11 L1 consensus
primer PCR",1603,195,0.122,low,"Table 1, plus subtyping for every high risk type"
44H,"Hibbitts et al., 2008","Human papillomavirus prevalence in women attending routine
cervical screening in South Wales, UK: a cross-sectional study",cross-sectional ,2004,Europe,Northern Europe,UK,South Wales,Both,Predominantly normal ,LBC,screening,HR-HPV,"16, 18, 31, 33, 35, 39, 45, 51, 52, 56, 58, 59, 66, 68",14,III,GP5+/GP6+,"The GP5/
GP6 HPV PCR-ELISA",1943,31,0.016,low,"Figure 3 for HR-HPV by age group using plotdigitizer, 50-54, 55-59, 60-64"
50OH,"Hong et al., 2015","Prevalence and genotype distribution of HPV infection among women in
Ningbo, China",cross-sectional ,2012,Asia,Eastern Asia,China ,Ningbo,Both,Predominantly normal ,LBC,clinical setting,"overall, HR-HPV","16, 18, 31, 33, 35, 39, 45, 51, 52, 53, 56, 58,
59, 66, 68, 73, 82, 83, 6, 11,
42, 43, 44",18,III,other PCR,"HPV DNA extraction, PCR amplification,
hybridization, and gene chip analysis on a gene chip reading meter
(Yaneng Biotechnology Limited Corp, Shenzhen",212,29,0.137,low,"Table 3 for HPV prevalence by age (overall and HR-HPV), age group 50-64"
51OHG,"Hooi et al., 2018","Human papillomavirus (HPV) prevalence and
associated risk factors in women from
CuracËao",cross-sectional ,2016,Americas,Caribbean,Curaçao,NA,Both,Predominantly normal ,conventional ,general population,"overall, HR-HPV, 16/18","16,18, 31, 33, 35, 39,45, 51, 52, 56, 58, 59, 26, 53,73, 82, 66, 68, 5, 6 11, 30, 67, 7",12,II,GP5+/GP6+,"GP5+/6+PCR EIA and GP 5+/6+amplimers from HPVpositive
samples were genotyped with a reverse hybridisation assay",305,27,0.089,low,"Table 2 for prevalence by age group, overall, and all subtypes; Figure 1 for HRHPV and HPV 16/18 (with Plot digitizer)"
45H,"Huijsmans et al., 2016","HPV Prevalence in the Dutch cervical
cancer screening population (DuSC study):
HPV testing using automated HC2, cobas
and Aptima workflows",cross-sectional ,2014,Europe,Western Europe,Netherlands,Eastern,Both,Predominantly normal ,LBC,screening,HR-HPV,"16, 18, 31, 33, 35, 39,  45, 51, 52, 56, 58, 59,  66, 68",14,III,GP5+/GP6+,"GP5+/6 + PCR-EIA, Hybrid
Capture 2, Aptima and cobas",3252,152,0.047,low,Table 2 for prevalence by age group and overal HRHPV
52OHG,"Jiang et al., 2011","Type-specific prevalence of Human Papillomavirus infection among women in the Northwest Territories, Canada",cross-sectional ,2009,Americas,North America,Canada,Northwest Territories,Both ,Predominantly normal ,LBC,screening ,"overall, HR-HPV, 16/18","16, 18, 26, 30, 31, 33, 35, 39, 45, 51, 52, 53, 56, 58, 59, 66, 67, 68, 69, 70, 73, 82, 85, 6, 11, 13, 32, 40, 42, 43, 44, 54, 61, 62, 71, 72,
74, 81, 83, 84, 86, 87, 89, 90, 91",23,III,PGMY09/11 and GP5+/GP6+,"Luminex assay; The DNA was amplified with a
nested PCR method using the general PGMY primer
set for the first round [16] and the GP5+/GP6+
primer set for the second round [17]. This method
amplifies a fragment of the L1 region of the HPV
genome (approximately 150 bp in length)",913,94,0.103,low,Table 2 for HPV prevalence by age group
46HGP,"Jiang et al., 2013",The prevalence of human papillomavirus and its impact on cervical dysplasia in Northern Canada,cross-sectional ,2010,Americas,North America,Canada,Northwest Territories,Both,Predominantly normal ,LBC,screening,"HR-HPV, 16/18","16, 18, 26, 30, 31, 33, 35, 39, 45, 51, 52, 53, 56, 58, 59, 66, 67, 68, 69, 70, 73, 82, 85, 6, 11, 13, 32, 40, 42, 43, 44, 54, 61, 62, 71, 72,
74, 81, 83, 84, 86, 87, 89, 90, 91",23,III,PGMY09/11 and GP5+/GP6+,"Luminex assay; The DNA was amplified with a
nested PCR method using the general PGMY primer
set for the first round [16] and the GP5+/GP6+
primer set for the second round [17]. This method
amplifies a fragment of the L1 region of the HPV
genome (approximately 150 bp in length)",NA,NA,0.102,low,"use plot digitizer, for Figure 2 for HR-HPV, 16/18, however the N for each age group was not provided"
47H,"Rebolj et al., 2021","Age-specific outcomes from the first round of HPV screening in unvaccinated women: Observational study from the English
cervical screening pilot",cross-sectional ,2016,Europe,Northern Europe,UK,NA,Both,Predominantly normal ,LBC,screening,HR-HPV,"16, 18, 31, 33, 35, 39 45, 51, 52, 56, 58, 59, 66, 68",14,III,"multiple
","cobas 4800 (Roche, Basel, Switzerland), APTIMA
(Hologic) and RealTime (Abbott, Chicago, IL, USA) HR-HPV
assays; a smaller number of women was screened using
the Hybrid Capture 2 (Qiagen, Hilden, Germany) HR-HPV
assay. Cobas and RealTime HR-HPV
DNA genotyping assays
report HPV genotypes 16 and 18 separately from the 12
other HR-HPV
genotypes; the latter are reported in combination.
The APTIMA HR-HPV
mRNA assay detects the 14
HR-HPV
genotypes",103206,5486,0.053,low,HR-HPV+ by age group 50-64 Table 1
48HG,"Choi et al., 2015","The Clinical Performance of Primary HPV Screening,
Primary HPV Screening Plus Cytology Cotesting, and
Cytology Alone at a Tertiary Care Hospital",cross-sectional ,2012,Asia,Eastern Asia,South Korea,Ansan,Both,Predominantly normal ,LBC,screening,"HR-HPV, 16/18","16, 18, 31, 33, 35, 39, 45, 51, 52, 56, 58, 59, 68",13,III,"multiple
","real-time PCR,
HC2, and direct HPV DNA sequencing",289,66,0.228,low,Table 4 for prevalence by age group and HR-HPV and HPV16/18
53OH,"Shen et al., 2021","Human papillomavirus infection rate,
distribution characteristics, and risk of age
in pre‑ and postmenopausal women",cross-sectional ,2019,Asia,Eastern Asia,China,Wuhan,Both,Predominantly normal ,LBC,clinical setting,"overall, HR-HPV","16,18, 26, 31, 33, 35, 39, 51, 52, 53, 56, 58, 59, 66, 68, 
82, 6, 11, 40, 42, 43, 44, 55, 61, 81, 83, 73",17,III,other PCR,Luminex 200,153,20,0.131,high,Table 3 for HPV data breakdown by age and overall HPV prevalence as well as HR HPV
54OH,"Xiao et al, 2016","Analysis of Human Papillomavirus Infection in 16,320 Patients From a Gynecology Clinic in Central South China",retrospective,2013,Asia,Eastern Asia,China,Central South,Both,Predominantly normal ,NA,screening,"overall, HR-HPV","16, 18, 31, 33, 35,
39, 45, 51, 52, 53, 56, 58, 59, 66, 68, 6, 11, 42, 43, 44",15,III,other PCR,"Flow-through hybridization technology was applied to test
21 HPV subtypes",1871,584,0.312,high,"Table 2 for HPV prevalence by age group, both overall and HR-HPV"
49H,"Keteleaars et al., 2017","High-risk human papillomavirus detection in self-sampling compared to
physician-taken smear in a responder population of the Dutch cervical
screening: Results of the VERA study",cross-sectional ,2015,Europe,Northern Europe,Netherlands,Nijmegen; s-Hertogenbosch,Both,Predominantly normal ,LBC,screening,HR-HPV,"16, 18, 31, 33, 35, 39,  45, 51, 52, 56, 58, 59, 66, 68",14,III,cobas,cobas 4800,412,47,0.114,low,Table 2 for HR HPV data breakdown by age group
56OHGP,"Kjaer et al., 2008","Population-based prevalence, type- and age-specific distribution of HPV in
women before introduction of an HPV-vaccination program in Denmark",cross-sectional ,2005,Europe,Northern Europe,Denmark,Copenhagen,Both,Predominantly normal ,LBC,screening,"overall, HR-HPV, 16/18","16, 18, 31, 33, 35, 39, 45, 51,
52, 53, 56, 58, 59, 66, 68, 6, 11, 40, 42, 43, 44, 54, 70, 74",15,III,HC2,"HC2, INNO-LiPA
v2 HPV prototype assay",NA,NA,0.061,low,"N is not provided for the age groups but overall prevalence is provided  by age group (50-54, 55-59, 60-64, 65+) from which a crude overall prevalence is calculated by added up all the prevalence rates, divide the sum by the total number of groups (N) to calculate the crude overall prevalence."
57OHG,"Klug et al., 2007",Prevalence of Human Papillomavirus Types in Women Screened by Cytology in Germany,cross-sectional ,2000,Europe,Western Europe,Germany,Southern and Northern Germany,Both,Predominantly normal ,LBC,screening,"overall, HR-HPV, 16, 18, 31, 33, 35, 39, 45, 51, 52, 56, 58, 59, 66","16, 18, 31, 33, 34, 35, 39, 45, 51, 52, 56, 58, 59, 66, 11, 42, 53, 54, 55, 61, 62, 64, 66, 67, 68, 70, 72, 73, 82, 83, 84",13,III,PGMY09/11 ,"PGMY09/11 PCR followed by reverse line
blot assay",1735,33,0.019,low,"Table 1 for population breakdown by age group, table 3 for HPV, HR HPV and 16, 18 +"
50HG,"Kjaer et al., 2013","Carcinogenic HPV prevalence and age-specific type distribution
in 40,382 women with normal cervical cytology, ASCUS/LSIL,
HSIL, or cervical cancer: what is the potential for prevention?",cross-sectional ,2005,Europe,Northern Europe,Denmark,Copenhagen,Both,Predominantly normal ,LBC,screening,HR-HPV,"16, 18, 31, 33, 35, 39, 45, 51, 52, 53, 56, 58, 59, 66, 68",15,III,HC2,"HC2, INNO-LiPA
v2 HPV prototype assay",5718,405,0.071,low,"Table 1 for population breakdown by age group as well as HR-HPV +, and by genotype"
58OHG,"Kobetz et al., 2012","Burden of Human Papillomavirus among Haitian Immigrants in Miami, Florida: Community-Based Participatory Research in Action",cross-sectional ,2008,Americas,North America,USA,"Little Haiti, Miami",Both ,Predominantly normal ,LBC,general population,"overall, HR-HPV, 16/18","16, 18, 31, 33, 35, 45, 52, 53, 66, 68, 82, 61, 62, 83, 11, 72, 84, 42, 44",11,II,PCR L1 or E1,"PCR amplification of HPV products used degenerate
primers specific for the consensus regions of the L1 gene in
the HPV genome.",54,5,0.092,high,"Figure 2 for age specific prevalence of HPV by overall point prevalence, HR and types 16/18"
51HP,"Kulhan et al., 2017","Estimation of the prevalence and
distribution of HPV genotypes and
identification of related risk factors
among Turkish women",cross-sectional ,2016,Asia,Western Asia,Turkiye,Erzincan ,Both,Predominantly normal ,conventional,clinical setting,HR-HPV,"16, 18, 31, 33, 35, 39, 45, 51, 52, 56, 58, 59, 66, 68",14,III,HC2,"HPV DNA detection and genotyping
were performed by Hybrid Capture-II",NA,NA,0.143,high,"Figure 1, distribution of HPV % positivity by age (50-59, 60+) and since N is not provided for the age groups but overall prevalence is provided  by age group (50-54, 55-59, 60-64, 65+) from which a crude overall prevalence is calculated by added up all the prevalence rates, divide the sum by the total number of groups (N) to calculate the crude overall prevalence. "
52HG,"Laowahutanont et al., 2014","Prevalence of High Risk Human Papillomavirus Infection with Different Cervical Cytological Features among Women
Undergoing Health Examination at the National Cancer Institute, Thailand",cross-sectional ,2011,Asia ,Southeastern asia,Thailand,NA,Both,Predominantly normal ,LBC,screening,"HR-HPV, 16, 18","16, 18, 31, 33, 35, 39, 45, 51, 52, 56, 58, 59, 66, 68",14,III,other PCR,"Cervista HPV HR and
Cervista HPV 16/18 test",33,4,0.121,low,"Table 1 for HPV prevalence by age group 60 +  Hr-HPV+, type 16 and type 18"
59OHG,"Lee et al., 2012","Prevalence and Distribution of Human Papillomavirus Infection
in Korean Women as Determined by Restriction Fragment Mass
Polymorphism Assay",cross-sectional ,2011,Asia,Eastern Asia,South Korea,Seoul,Both,Predominantly normal ,LBC,screening,"overall, HR-HPV, 16, 18, 31, 33, 35, 39, 45, 51, 52,
56, 58, 59, 68","6, 11, 16, 18, 26, 30, 31,
33, 34, 35, 39, 40, 42, 43, 44, 45, 51, 52, 53, 54, 55, 56, 58, 59, 61, 62, 66, 68, 70, 72, 73, 74, 81, 82, 83, 84, 89, 90",13,III,PGMY09/11,"DNA were amplified
with PGMY09/11 primers, MALDI-TOF",18910,2836,0.15,low,Table 2 for #  HR-HPV+ breakdown by age group
60OHG,"Leinonen et al., 2013","Type- and age-specific distribution of human
papillomavirus in women attending cervical
cancer screening in Finland",cross-sectional ,2005,Europe,Northern Europe,Finland,NA,Both,Predominantly normal ,LBC,screening,"overall, HR-HPV, 16, 18, 31, 33, 35, 39, 45, 51, 52,
56, 58, 59, 68","6, 11, 16, 18, 26, 30, 31, 33, 35, 39, 40, 42, 43, 45, 51, 52, 53,
54, 56, 58, 59, 61, 66, 67, 68, 69, 70, 73, 74, 81, 82, 83, 86,
87, 89, 90, 91, 114",13,III,HC2,"HC2, Luminex assay included probes for HPV
types",14663,321,0.022,low,Table 2 for data on HPV prevalence by age group for both overall and HR-HPV+
61OH,"Levert et al., 2000",Human papillomavirus typing in routine cytological screening: results of an investigation on 3778 patients,cross-sectional ,1997,Europe,Western Europe,France,NA,Both ,Predominantly normal ,LBC,screening,"Overall, HR-HPV","16, 18, 31, 33, 35, 39,
45, 51, 52, 56, 58, 59, 68, 6, 11, 42, 43, 44",13,III,HC2,HC2,653,65,0.1,low,Table 1 HR-HPV prevalence by age group
53HG,"Li et al., 2020","Prevalence and Genotype Distribution of High-Risk Human Papillomavirus
among Chinese Women in Sichuan Province",retrospective,2017,Asia,Eastern Asia,China,Sichuan,Both,Predominantly normal ,LBC,clinical setting,"overall, HR-HPV, 16, 18, 31, 33, 35, 39, 45, 51, 52,
56, 58, 59, 66, 68, 82","16, 18, 31, 33, 35, 39, 45, 51, 52,
56, 58, 59, 66, 68, 82",15,III,other PCR,"HPV DNA was detected
and genotyped by real-time polymerase chain reaction
(Zhejiang Bio-Tech Corporation, Shanghai, China)",276,80,0.29,low,Table 2 HPV prevalence by age group
62OH,"Li et al., 2019","Prevalence and distribution of cervical human papillomavirus (HPV) genotypes in women with cytological results from Sichuan Province, China",cross-sectional ,2017,Asia ,Eastern Asia,China ,Sichuan,Both ,Predominantly normal ,LBC,clinical setting,"overall, HR-HPV","16, 18, 31, 33, 52, 58, 56, 68, 66, 35, 39, 45, 51, 67, 59, 53, 73, 6, 11, 54, 55, 57, 40, 42, 43, 44",17,III,other PCR,"HPV Geno Array test kit (Genetel Pharmaceuticals Co., Ltd. Shenzhen, China)",742,174,0.235,high,Table 3 HR-HPV prevalence by age group
54HG,"Li et al., 2006","Human papillomavirus infection in Shenyang City, People’s Republic of China: a population-based study",cross-sectional ,2005,Asia,Eastern Asia,China,Shenyang,Both,Predominantly normal ,LBC,general population," HR-HPV, 16/18","6, 11, 16, 18, 26, 30, 31, 32, 33, 34, 35, 39, 40, 42, 43, 44, 45, 51, 52, 53, 54, 55, 56, 57, 58, 59, 61, 64, 66, 67, 68, 69, 70, 71, 72, 73, 81, 82, 83, 84, 85, 86, 89 ",14,III,GP5+/GP6+,"GP5+/6+ PCR-based
enzyme immunoassay; reverse line blot hybridisation of PCR products",93,5,0.053,low,Figure 3 HR-HPV prevalance and 16/18 prevalence by age group
55H,"Li et al., 2016","Cervical Infection of Oncogenic Human Papillomavirus (HPV)
Types in Beijing, China",cross-sectional ,2014,Asia,Eastern Asia,China,Beijing,Both ,Predominantly normal ,LBC,clinical setting,HR-HPV,"16, 18, 31, 33, 35, 39, 45, 51, 52, 56,
58, 59, 68",13,III,other PCR,"high-risk HPV genotyping real-time PCR kit
(Shanghai ZJ Bio-Tech Co., Ltd",1928,361,0.187,high,"Figure 3 and P.736 “Age Specific Prevalence of HPV infection” section 
"
56H,"Lin et al., 2008",Genital human papillomavirus screening by gene chip in Chinese women of Guangdong province,cross-sectional ,2006,Asia,Eastern Asia,China,Guangdong,Both,Predominantly normal ,LBC,clinical setting,HR-HPV,"16, 18, 31, 33, 35, 39,
45, 51, 52, 56, 58, 59, 68, 6, 11, 41, 42, 44, 53, 66",13,III,PGMY09/11,"DNA extraction
Kits (Chaozhou Hybribio Biotechnology Corp.); HPV DNA was amplified with the L1 consensus
HPV PGMY09/PGMY11 primer set ",179,20,0.112,low,"p.191, ""Distribution of HPV genotypes"" and Figure 4 LR-HPV, HR HPV prevalence"
64OH,"Liu et al., 2014","Human papillomavirus prevalence and type-distribution among women in Zhejiang Province, Southeast China: a cross-sectional study",cross-sectional ,2013,Asia,Eastern Asia,China ,Zhejiang,Both,Predominantly normal ,LBC,clinical setting,"overall, HR-HPV","16, 18, 31, 33, 35, 39, 45, 51, 52, 53, 56, 58, 59, 66, 68, 73, 82, 83, 6, 11, 42, 43, 44",18,III,other PCR,"commercial
HPV Genotyping Kit for 23 HPV types (Yaneng
Bioscience (Shenzhen) Co., Ltd, China), including 5 LR
types (6, 11, 42, 43 and 44), and 18 HR types (16, 18,
31, 33, 35, 39, 45, 51, 52, 53, 56, 58, 59, 66, 68, 73, 82
and 83). The kit employs DNA amplification to detect
HPV positivity and a microarray format with a nylon
membrane onto which HPV genotype-specific oligonucleotide
probes have been immobilized to simultaneously
identify 23 HPV genotypes.",624,138,0.222,high,"Figure 1, used plot digitizer"
57H,"Liu et al., 2015",Epidemiology and genotype distribution of high risk human papillomavirus in population of hospital opportunistic screening,cross-sectional ,2014,Asia,Eastern Asia,China,Beijing,Both,Predominantly normal ,LBC,clinical setting,HR-HPV,"16, 18, 31, 33, 35, 39, 45, 51, 52, 56, 58, 59, 68",13,III,other PCR,"Type-specific HR-HPV analyses were made by diagnostic kit (Shanghai ZJ Bio-tech Co., LTD). Real-Time Ploymerase Chain Reaction (PCR) test was employed.",2084,195,0.094,high,Table 1 for dirsbrituation of HR-HPV+ by age group
66OHGP,"Marais et al., 2008",Cervical human papillomavirus (HPV) infection and HPV type 16 antibodies in South African women,case control ,2006,Africa,Southern Africa,South Africa,Cape Town,Both,Predominantly normal ,conventional,controls,"overall, HR-HPV, 16","16, 18, 26, 31, 33, 35, 39, 45, 51, 52, 53, 56, 58, 59, 66, 68, 73, 82, 6, 11, 40, 42, 54, 55, 57, 83, 84",18,III,other PCR,"reverse
line blot assay (Roche); QIAamp
DNA blood minikit (Qiagen) ",NA,NA,0.14,high,"% prevalence of HR-HPV by age group (50-59) reported in Figure 1, extracted with plot digitizer"
